fb1	ctr1
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223694	-1.46953e-015
-0.0234337	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234337	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0202408	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0202408	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223694	-1.46953e-015
-0.0223694	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0255699	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223694	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0202446	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0202446	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0255699	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0234413	-1.46953e-015
-0.022377	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245056	-1.46953e-015
-0.0234413	-1.46953e-015
-0.0213089	-1.46953e-015
-0.0202408	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0245018	-1.46953e-015
-0.0213051	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0223732	-1.46953e-015
-0.0266342	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0234375	-1.46953e-015
-0.0245018	-1.46953e-015
